step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,ang_vel_x,ang_vel_y,ang_vel_z,motor_0,motor_1,motor_2,motor_3
0,0.0,0.1103846990763436,0.2854721435609585,0.020800377467724583,1.649299138838023,0.5300913589050055,0.7309995421176577,0.9977304235790537,0.03445406314906169,-0.036982309832426265,0.04448851713353854,-0.07076570862897649,0.06486987979075459,4.589197275465344e-18,0.0,1.232188613088915,1.232188613088915,1.232188613088915
1,0.002,0.11203339326604934,0.2860014813702996,0.021533379138082634,1.648694189705744,0.5293378093411327,0.7330016703580515,0.9977302443396617,0.034436080061031264,-0.03700566910458851,0.04448703602254307,-0.03806018560166607,-0.04512774914150394,2.051307294168826e-07,1.329427410746201,2.0893793939510066,0.0,1.329427410746201
2,0.004,0.11368149032858951,0.2865300615966426,0.022268314086971514,1.6480970625401627,0.528580226343005,0.7349349488888807,0.997727510432659,0.03443495025441216,-0.037083786244422774,0.044484176114690625,-0.00922826003171447,-0.15617845083903698,1.2838055112432435e-07,1.3057054804845905,2.1093831083812242,0.0,1.3057054804845905
3,0.006,0.1153289962374059,0.28705788012232253,0.023005117801707907,1.647505908816391,0.5278185256798759,0.7368037147363935,0.9977222528086991,0.03444890442297136,-0.037217223601834416,0.04447985501058477,0.016014820183900907,-0.2681972642241932,6.39776040966124e-08,1.2836564940458755,2.1277747560586993,0.0,1.2836564940458755
4,0.008,0.11697591516261492,0.2875849327662671,0.023743729802750486,1.6469189252090126,0.5270526439445667,0.7386120010425804,0.9977144892865832,0.034476303070200665,-0.037406497891264434,0.044473995882261044,0.03793346308959834,-0.38110527351976375,2.559068582158362e-07,1.2631612962106606,2.144670149864644,0.0,1.2631612962106604
5,0.01,0.11862224951251205,0.28811121530202893,0.02448409336073482,1.6463343498971248,0.5262825357618164,0.7403635579843328,0.9977042247492355,0.03451562719279374,-0.03765208342924092,0.0444665268539502,0.05677314017403855,-0.49482923580087895,9.019064081588781e-07,1.2441090202748302,2.160177108485536,0.0,1.2441090202748302
6,0.012,0.12026799997157464,0.2886367234734431,0.025226155232993732,1.6457504590625902,0.5255081714141769,0.742061872258912,0.99769145130403,0.034565469616583584,-0.037954415143909084,0.044457380446081524,0.07276171641818667,-0.6093011881689328,2.1572512011931904e-06,1.2263965446730425,2.174395982674622,0.0,1.2263965446730425
7,0.014,0.12191316553526071,0.2891614530082179,0.025969865418213837,1.6451655636860691,0.5247295347747895,0.7437101852201037,0.9976761484146964,0.03462452693663446,-0.03831389137185108,0.04444649307625307,0.08611068136321244,-0.7244580812186177,4.138320703411356e-06,1.2099279774140732,2.1874201550038057,0.0,1.2099279774140732
8,0.016,0.12355774354187549,0.28968539962974477,0.02671517692798218,1.644578006614773,0.5239466215268731,0.7453115097683437,0.9976582830106198,0.03469159202131964,-0.03873087645616846,0.044433804611646165,0.09701629774969084,-0.8402414368986926,6.925950075053514e-06,1.1946141777584955,2.199336503565047,0.0,1.1946141777584955
9,0.018,0.12520172970175644,0.29020855906737664,0.02746204557405929,1.6439861598809464,0.5231594376318912,0.7468686460771083,0.9976378095783024,0.034765547043120064,-0.03920570315889062,0.04441925796787641,0.10566067374743056,-0.956597029243879,1.0568567242301232e-05,1.1803723078785722,2.210225836766368,0.0,1.1803723078785722
10,0.02,0.126845118124008,0.29073092706538817,0.028210429770290587,1.6433884222515525,0.5223679980115471,0.7483841962312949,0.9976146702388902,0.03484535700115193,-0.039738674899952094,0.04440279874972946,0.11221276350599209,-1.0734745865635327,1.5085120473403425e-05,1.1671254123614783,2.2201633012693938,0.0,1.1671254123614783
11,0.022,0.12848790134099872,0.2912524993908018,0.02896029034813909,1.6427832169907235,0.5215723254136093,0.7498605778485025,0.9975887948149409,0.03493006370258353,-0.04033006783421006,0.044384374929649556,0.11682930049411773,-1.190827513750826,2.046780276682738e-05,1.1548020239989354,2.2292187645443966,0.0,1.1548020239989354
12,0.024,0.13013007033081636,0.29177327184023755,0.02971159038488872,1.6421689898176421,0.520772449435745,0.7513000367496322,0.9975601008890114,0.03501878017213819,-0.04098013277724786,0.04436393656023396,0.11965566784615309,-1.308612633450829,2.6684580628924617e-05,1.1433357943786828,2.2374571734551054,0.0,1.1433357943786828
13,0.026,0.13177161453785996,0.2922932402459227,0.030464295043629755,1.6415442070435993,0.5199684056851477,0.7527046587410325,0.9975284938561356,0.03511068546080553,-0.041689096990028526,0.04434143551733972,0.12082670969563505,-1.4267899448969097,3.368153573163195e-05,1.1326651478681011,2.244938890218248,0.0,1.1326651478681011
14,0.028,0.133412521891733,0.2928124004809775,0.031218371424196242,1.640907353873047,0.5191602350548536,0.7540763805664882,0.9974938669718498,0.035205019826701565,-0.04245716583182096,0.04431682527073243,0.12046748724910815,-1.5453223992927214,4.1385028560496956e-05,1.1227329576463285,2.251720007023418,0.0,1.1227329576463285
15,0.03,0.1350527788245875,0.2933307484640778,0.03197378842427992,1.6402569328544963,0.5183479831003187,0.7554170000836782,0.997456101397079,0.03530108026273516,-0.043284524290218424,0.04429006067950276,0.11869398313719604,-1.6641756906816199,4.9703693540881295e-05,1.1134862425084302,2.2578526405375032,0.0,1.1134862425084302
16,0.032,0.1366923702870556,0.29384828016357994,0.0327305166099962,1.6395914624681118,0.5175316995021358,0.7567281857162788,0.9974150662409125,0.035398216347356716,-0.04417133839650242,0.04426109780974621,0.11561375737383668,-1.7833180613069823,5.85302753126769e-05,1.1048758832252719,2.2633852074629384,0.0,1.1048758832252719
17,0.034,0.13833127976289342,0.2943649916011827,0.03348852809522586,1.6389094758378173,0.5167114376027598,0.7580114852296611,0.997370618602072,0.03549582639619112,-0.045117756534072295,0.044229893772248126,0.11132655805922584,-1.902720120525351,6.774331584805716e-05,1.0968563573074404,2.268362682259052,0.0,1.0968563573074401
18,0.036,0.13996948928245007,0.2948808788551895,0.03424779642910095,1.6382095195566357,0.5158872540068146,0.7592683338750952,0.9973226036096766,0.03559335389379331,-0.04612391064716076,0.04419640657814035,0.1059248897755537,-2.0223546763901243,7.720870200567348e-05,1.0893854910751766,2.2728268380861345,0.0,1.0893854910751766
19,0.038,0.14160697943506492,0.2953959380634255,0.03500829649104548,1.6374901526148642,0.5150592082360289,0.7605000619445278,0.9972708544637681,0.035690284186117,-0.047189917356585225,0.04416059501069989,0.09949454244808371,-2.14219657907638,8.678108291510593e-05,1.082424227995579,2.276816471976213,0.0,1.082424227995579
20,0.04,0.14324372938048643,0.29591016542585663,0.035770004392820805,1.6367499454215007,0.5142273624311123,0.7617079017753212,0.9972151924759292,0.03578614141555819,-0.04831587898884416,0.04412241851164571,0.09211508327591454,-2.2622225753678005,9.630516631022371e-05,1.075936412298251,2.2803676151879912,0.0,1.075936412298251
21,0.042,0.14487971685939655,0.29642355720695057,0.036532897387062634,1.6359874789101145,0.5133917810939674,0.762892994241831,0.9971554271102326,0.035880485681629805,-0.04950188452445325,0.04408183708045769,0.08386031417798176,-2.3824111734742557,0.00010561690259787405,1.0698885869365231,2.2835137296501915,0.0,1.0698885869365233
22,0.044,0.14651491820311763,0.29693610973781515,0.03729695378183097,1.6352013437210828,0.5125525308645704,0.7640563947683342,0.9970913560246825,0.035972910411445326,-0.05074801047102814,0.044038811185394766,0.0747986970486505,-2.5027425174939224,0.00011454456507566095,1.0642498050066127,2.2862858913551207,0.0,1.0642498050066127
23,0.046,0.14814930834257042,0.2974478194181428,0.03806215286072657,1.6343901394527864,0.5117096803276533,0.7651990788956023,0.9970227651132479,0.03606303992524202,-0.05205432166625625,0.04399330168502702,0.06499374897464442,-2.623198270876603,0.00012290973431129266,1.058991453788035,2.2887129615157,0.0,1.058991453788035
24,0.048,0.14978286081654543,0.2979586827179878,0.03882847480815789,1.6335524739750038,0.5108632998450078,0.7663219474313234,0.996949428548543,0.036150527183161356,-0.053420872015559145,0.04394526975922155,0.0545044094295874,-2.743761508285549,0.00013052819427757228,1.054087090610944,2.2908217462589873,0.0,1.054087090610944
25,0.05,0.15141554777934374,0.29846869617939764,0.03959590063937051,1.6326869627983194,0.5100134614098243,0.7674258312126215,0.99687110882517,0.036235051700429156,-0.05484770516892735,0.04389467684863449,0.04338538133499803,-2.8644166152933566,0.00013721074740987186,1.0495122898035394,2.29263714558376,0.0,1.0495122898035392
26,0.052,0.15304734000783765,0.29897785641791763,0.04036441213487759,1.6317922284939186,0.5091602385199837,0.7685114955070773,0.996787556803723,0.03631631761894465,-0.056334855141110314,0.04384148460186336,0.03168744775565202,-2.9851491953838174,0.00014276395532382635,1.0452445000112554,2.2941822922730966,0.0,1.0452445000112554
27,0.054,0.1546782069079963,0.29948616012398527,0.041133991778954514,1.6308669001586427,0.5083037060676554,0.7695796440769251,0.9966985117554202,0.036394051924098135,-0.057882346879064565,0.04378565482950525,0.01945776588331112,-3.1059459837658467,0.00014699081150532287,1.0412629112207883,2.2954786814130967,0.0,1.041262911220788
28,0.056,0.1563081144181901,0.29999360924524426,0.04190457984472586,1.629907510193786,0.5074491212590001,0.7705880657713512,0.9966037636819649,0.03646843187982027,-0.05948883356691417,0.04372722689603818,0.007719283269350844,-3.2241020686254918,0.00014969135186764301,1.0204992630501915,2.2794972233206003,0.0,1.0545973986719812
29,0.058,0.15793702568131765,0.30050021077460315,0.04267607481627026,1.62891126312756,0.5066015293588828,0.7714949715443956,0.9965031629996848,0.036540040003143454,-0.06115165130948462,0.04366631596912946,-0.002600509939665341,-3.3370167252372585,0.0001508034628535894,0.9831110691512741,2.247164281959087,0.0,1.0843547183410904
30,0.06,0.15956490348598779,0.30100597158075165,0.043448374710472276,1.6278778046701403,0.5057608061484791,0.7722998942020176,0.9963965672683851,0.03660941362845198,-0.0628681702477297,0.04360303589501916,-0.01159538576654732,-3.444754909978862,0.00015041567999370098,0.9455230721962102,2.2155997637924942,0.0,1.1134476001790687
31,0.062,0.1611917103444692,0.3015108984035777,0.04422137720025557,1.6268068584814013,0.5049268228260474,0.7730024897832927,0.9962838422693837,0.03667704770091232,-0.06463579476815702,0.04353749923442683,-0.019353633356236775,-3.5473821168664625,0.00014863079678494696,0.9077879319655788,2.184782946212402,0.0,1.1418981049379036
32,0.064,0.1628174085672605,0.302014997850138,0.04499497973192447,1.6256982227913281,0.504099446560312,0.7736025316688989,0.9961648629858653,0.03674339737206854,-0.0664519637562199,0.043469817285710526,-0.02595845097914408,-3.6449644398733265,0.0001455629326875682,0.8699555105404029,2.154695047075884,0.0,1.1697262285984618
33,0.066,0.16444196033420286,0.302518276391146,0.0457690796370182,1.6245517669423455,0.5032785410079395,0.7740999050937274,0.996039514488684,0.036808880414355725,-0.06831415088666576,0.04340010009692052,-0.03148830417957872,-3.737568623042302,0.00014133490858731954,0.8320730433796539,2.125319022868207,0.0,1.1969501040479522
34,0.068,0.16606532776207567,0.30302074035794163,0.04654357423904717,1.6233674278728154,0.5024639667956493,0.7744946020289675,0.9959076927306663,0.036873879469940384,-0.07021986494432474,0.04332845646822215,-0.03601725281304596,-3.8252620994256823,0.00013607590220608056,0.7941852983204494,2.0966393828107486,0.0,1.2235861869933902
35,0.07,0.1676874729686351,0.30352239593990826,0.04731836095544834,1.6221452065594197,0.5016555819666163,0.7747867164011774,0.9957693052524043,0.03693874414782473,-0.07216665016929738,0.04325499394600006,-0.039615249967346076,-3.9081130198175,0.00012991935878059013,0.7563347233140287,2.0686420178508733,0.0,1.249649427166345
36,0.072,0.1693083581330695,0.3040232491823009,0.04809333739506701,1.6208851644344036,0.5008532423926016,0.7749764396186631,0.9956242718024959,0.03700379298209815,-0.07415208662093227,0.04317981880983346,-0.04234841491647878,-3.986190272166776,0.00012300113475255007,0.7185615838797632,2.041314043310914,0.0,1.2751534260341295
37,0.074,0.17092794555286187,0.3045233059844542,0.04886840145144427,1.6195874197923612,0.5000568021533074,0.7750640563772633,0.995472524875155,0.037069315263227105,-0.07617379055539457,0.04310303605342515,-0.04427928212991555,-4.05956349250701,0.00011545785444474405,0.6809040908706878,2.0146436543889896,0.0,1.3001105818166825
38,0.076,0.17254619769706195,0.30502257209833866,0.04964345139216365,1.6182521442000806,0.4992661138844707,0.7750499407193745,0.9953140101681073,0.037135572753339466,-0.07822941481202086,0.043024749360472944,-0.04546702823981106,-4.1283030681867485,0.00010742546166648569,0.6433985191149183,1.9886199937461198,0.0,1.324532222567315
39,0.078,0.17416307725598384,0.3055210531274349,0.05041838594448538,1.6168795589219016,0.49848102909622327,0.7749345523217361,0.9951486869636836,0.03720280129558012,-0.08031664920403155,0.042945061076389276,-0.04596767875555421,-4.1924801341384,9.90379499256249e-05,0.6060793174646557,1.963233030457174,0.0,1.3484287280326068
40,0.08,0.17577854718735592,0.3060187545258981,0.05119310437747449,1.6154699313720793,0.4977013984632289,0.7747184329891084,0.9949765284360246,0.03727121232678593,-0.08243322090953124,0.04286407217670093,-0.045834296207854376,-4.252166562876717,9.042625645092577e-05,0.5689792107512559,1.9384734496386709,0.0,1.3718096409719702
41,0.082,0.17739257075896067,0.3065156815979862,0.05196750658080705,1.6140235716047588,0.49692707208809084,0.774402203332563,0.9947975218873187,0.037340994301950044,-0.08457689485907144,0.04278188223289473,-0.0451171513027969,-4.307434948875498,8.171730656838697e-05,0.5321292941249303,1.9143325521039012,0.0,1.3946837685800164
42,0.084,0.17900511158781204,0.3070118394977257,0.05274149314041967,1.612540828851362,0.4961578997394913,0.7739865596126164,0.9946116689160125,0.037412314038213504,-0.08674547411637751,0.042698589376415,-0.043863878569803394,-4.358358587929683,7.303319615292548e-05,0.49555912022646575,1.8908021634262526,0.0,1.417059274625156
43,0.086,0.1806161336759265,0.3075072332287922,0.053514965411148564,1.611022088114438,0.4953937310664883,0.7734722707288962,0.9944189855199291,0.037485317985435196,-0.08893680024915505,0.042614290261463406,-0.04211961789602811,-4.405011452071119,6.449050090925226e-05,0.4592967796175944,1.8678745518255433,0.0,1.4389437628839608
44,0.088,0.18222560144275282,0.30800186764458254,0.05428782558648801,1.6094677668263384,0.4946344157903543,0.772860175339444,0.9942195021372554,0.03756013342974615,-0.0911487536871896,0.04252908002720099,-0.03992714325275508,-4.447468160569201,5.619970214146448e-05,0.42336897487546166,1.8455423543204823,0.0,1.460344352423267
45,0.09,0.18383347975433326,0.3084957474484578,0.055059976765582115,1.6078783115804354,0.4938798038753012,0.7721511790941038,0.9940132636283553,0.03763686963589048,-0.09337925406523774,0.042443052259903934,-0.037326979836335886,-4.485803947511892,4.82647194657656e-05,0.3878010887360248,1.8237985106142847,0.0,1.4812677452580187
46,0.092,0.18543973394927524,0.3089888771941372,0.055831323017549866,1.606254194941988,0.49312974567939133,0.7713462519677516,0.9938003292013726,0.037715618933589365,-0.09562626054847931,0.04235629895557918,-0.034357510767629364,-4.520094626429309,4.078254161828744e-05,0.3526172466544817,1.802636204211113,0.0,1.5017202868829735
47,0.094,0.18704432986162045,0.3094812612862241,0.056601769443230227,1.6045959123452003,0.4923840920868914,0.7704464256803594,0.9935807722845894,0.037796457752636195,-0.09788777213855712,0.04226891048350197,-0.0310550744184239,-4.550416552389619,3.384294712457457e-05,0.3178403741330158,1.7820488102789958,0.0,1.5217080201584292
48,0.096,0.18864723384070292,0.30997290398084737,0.057371222234422314,1.6029039790824637,0.4916426946232856,0.7694527911920881,0.9933546803484973,0.0378794476109379,-0.10016182795847597,0.042180975551095096,-0.027454053361484924,-4.576846581966455,2.7528307138435044e-05,0.2834922491522107,1.7620298497998559,0.0,1.5412367330056678
49,0.098,0.19024841276809418,0.3104638093864015,0.05813958873068506,1.6011789273912596,0.4909054055541218,0.7683664962627434,0.9931221546805297,0.03796463605925833,-0.10244650751486406,0.042092581170527985,-0.023586955871998636,-4.5994620314477785,2.1913463238331197e-05,0.24959355002876515,1.7425729495663025,0.0,1.560312000349084
50,0.1,0.19184783407173786,0.3109539814643703,0.05890677747375108,1.599421303643693,0.49017207796882617,0.7671887430660238,0.9928833101153893,0.03805205758599304,-0.10473993093631924,0.042003812627373,-0.019484490842146766,-4.618340633628088,1.7065673397091588e-05,0.2161638990095407,1.7236718076032878,0.0,1.5789392207237218
51,0.102,0.193445465737381,0.3114434240302209,0.05967269825960111,1.5976316656431506,0.48944256585058277,0.7659207858500249,0.9926382747238808,0.03814173448490968,-0.10704025918676963,0.04191475345161608,-0.015175636907682137,-4.633560493499221,1.3044619723842868e-05,0.1832219018971195,1.7053201636130966,0.0,1.5971236479470223
52,0.104,0.19504127631741308,0.31193214075435427,0.060437262188237584,1.5958105800320919,0.4887167241333411,0.7645639286364782,0.9923871894631335,0.03823367768842324,-0.10934569425297298,0.04182548539127913,-0.010687706523934588,-4.6452000431294955,9.902471924065308e-06,0.15078518400104746,1.6875117740540202,0.0,1.614870418241767
53,0.106,0.19663523493722762,0.31242013516310124,0.06120038171118971,1.5939586198145317,0.4879944087469772,0.7631195229521236,0.9921302077910683,0.03832788756863935,-0.11165447930546192,0.04173608838887237,-0.00604640567104708,-4.653337995996323,7.684000740532918e-06,0.11887042268394188,1.6702403914839798,0.0,1.6321845731767852
